Date,Move,YesterdayMove,YesterdayMovement,Movement,Close,YesterdayClose,Volume, Open,High, Low,Earnings Call,Earnings Call Next,Sentiment,Sentiment5,Sentiment Next,5 Day Moving Average,10 Day Moving Average,LM_Positve,LM_Negative,LM_Polarity,LM_Subjectivity,GI_Positive,GI_Negative,GI_Polarity,GI_Subjectivity,Flesch,SMOG,Ticker,LPERMNO,LPERMCO,conm,actq,ciq,dd1q,dlttq,dpq,ltq,revtq,capxy,EPS_EST,EPS_ACTUAL,EPS_DIFF,BEAT_EPS,MISS_EPS,EBT_EST,EBT_ACTUAL,EBT_DIFF,BEAT_EBT,MISS_EBT,NET_EST,NET_ACTUAL,NET_DIFF,BEAT_NET,MISS_NET,OPR_EST,OPR_ACTUAL,OPR_DIFF,BEAT_OPR,MISS_OPR,YEAR
9/10/20,0,1,-0.04,-0.58,13.01,13.05,52318550,13.21,13.49,12.97,0,0,0,0,0,13.376,13.269,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/9/20,1,1,-0.58,0.02,13.05,13.63,79030170,13.48,13.58,12.8,0,0,0,0,0,13.386,13.278,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/8/20,1,1,0.02,0.25,13.63,13.61,72746020,13.36,14.16,13.15,0,0,0,0,0,13.27,13.259,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/4/20,1,1,0.25,0.13,13.61,13.36,64936960,13.65,13.82,12.96,0,0,0,0,0,13.266,13.114,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/3/20,1,1,0.13,0.13,13.36,13.23,86390770,13.4,14.07,13.03,0,0,0,0,0,13.25,13.028,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/2/20,1,0,0.13,0.05,13.23,13.1,58889580,12.94,13.34,12.67,0,0,0,0,0,13.162,12.973,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
9/1/20,0,1,0.05,-0.54,13.1,13.05,72987500,12.86,13.84,12.66,0,0,0,0,0,13.17,12.923,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/31/20,1,1,-0.54,0.31,13.05,13.59,45917160,13.6,13.74,13.05,0,0,0,0,0,13.248,12.88,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/28/20,1,0,0.31,0.49,13.59,13.28,54516380,13.59,13.63,13.23,0,0,0,0,0,12.962,12.854,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/27/20,0,0,0.49,-0.36,13.28,12.79,108835700,13.43,14.26,13.12,0,0,0,0,0,12.806,12.856,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/26/20,0,1,-0.36,-0.3,12.79,13.14,44056800,13.11,13.15,12.7,0,0,0,0,0,12.784,12.931,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/25/20,1,0,-0.3,1.28,13.14,13.44,79053360,13.69,14.02,12.77,0,0,0,0,0,12.676,12.99,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/24/20,0,0,1.28,-0.34,13.44,12.16,102685700,12.44,13.48,12.27,0,0,0,0,0,12.512,13.046,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/21/20,0,1,-0.34,-0.18,12.16,12.5,35822850,12.44,12.63,12.09,0,0,0,0,0,12.746,13.133,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/20/20,1,0,-0.18,0.08,12.5,12.68,41956630,12.38,12.67,12.26,0,0,0,0,0,12.906,13.187,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/19/20,0,0,0.08,-0.02,12.68,12.6,59266530,12.65,13.44,12.58,0,0,0,0,0,13.078,13.175,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/18/20,0,1,-0.02,-0.71,12.6,12.62,33322270,12.6,12.88,12.51,0,0,0,0,0,13.304,13.062,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/17/20,1,0,-0.71,0.03,12.62,13.33,56206580,13.32,13.38,12.61,0,0,0,0,0,13.58,12.908,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/14/20,0,0,0.03,-0.24,13.33,13.3,45670200,13.11,13.56,13.01,0,0,0,0,0,13.52,12.687,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/13/20,0,0,-0.24,-0.19,13.3,13.54,47772770,13.19,13.9,13.11,0,0,0,0,0,13.468,12.475,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/12/20,0,1,-0.19,-0.27,13.54,13.73,77639160,14.03,14.06,13.1,0,0,0,0,0,13.272,12.261,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/11/20,1,0,-0.27,0.97,13.73,14,127879300,15.02,15.1,13.55,0,0,0,0,0,12.82,12.065,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/10/20,0,1,0.97,-0.01,14,13.03,121073900,13.29,14.31,13.21,0,0,0,0,0,12.236,11.804,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/7/20,1,1,-0.01,0.48,13.03,13.04,61700720,12.86,13.16,12.58,0,0,0,0,0,11.854,11.64,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/6/20,1,1,0.48,1.09,13.04,12.56,131280100,13.04,13.29,12.47,0,0,0,0,0,11.482,11.513,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/5/20,1,0,1.09,0.39,12.56,11.47,118704400,11.84,12.85,11.55,0,0,0,0,0,11.25,11.393,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/4/20,0,0,0.39,-0.04,11.47,11.08,54824450,11.21,11.88,11.16,0,0,0,0,0,11.31,11.393,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
8/3/20,0,0,-0.04,-0.06,11.08,11.12,48263990,11.07,11.24,10.71,0,0,0,0,0,11.372,11.432,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/31/20,0,0,-0.06,-0.22,11.12,11.18,51835520,11.16,11.25,10.8,0,0,0,0,0,11.426,11.511,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/30/20,0,1,-0.22,-0.37,11.18,11.4,40525120,11.22,11.39,11.12,0,0,0,0,0,11.544,11.638,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/29/20,1,0,-0.37,0.38,11.4,11.77,52214560,11.8,11.92,11.3,1,0,0,0,0,11.536,11.842,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/28/20,0,0,0.38,0,11.77,11.39,62356560,11.37,12,11.36,1,0,0,0,0,11.476,11.822,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/27/20,0,1,0,-0.38,11.39,11.39,69451720,11.48,11.79,11.18,1,0,0,0,0,11.492,11.846,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/24/20,1,0,-0.38,0.41,11.39,11.77,53761420,11.67,11.82,11.34,1,1,0,0,0,11.596,11.901,0.761523046,1.422845691,-0.302752291,0.021843687,4.468937876,3.80761523,0.079903148,0.082765531,46.27,14.6,AAL,0,0,0,0,0,0,0,0,0,0,0,2.06,-7.82,-9.88,0,1,2263.5,-3325,-5588.5,0,1,905.19,-3354,-4259.19,0,1,0,0,0,0,0,2020
7/23/20,0,0,0.41,-0.11,11.77,11.36,115574800,11.27,12.41,11.01,1,0,0,0,0,11.732,11.842,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/22/20,0,0,-0.11,0,11.36,11.47,42461300,11.38,11.67,11.3,0,0,0,0,0,12.148,11.905,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/21/20,0,0,0,-0.44,11.47,11.47,64721990,11.57,11.79,11.28,0,0,0,0,0,12.168,11.949,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/20/20,0,0,-0.44,-0.54,11.47,11.91,64109610,11.93,12.51,11.35,0,0,0,0,0,12.2,12.082,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/17/20,0,1,-0.54,-0.99,11.91,12.45,67934120,12.48,12.6,11.89,0,0,0,0,0,12.206,12.141,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/16/20,1,0,-0.99,1.87,12.45,13.44,81513990,12.8,13.07,12.29,0,0,0,0,0,11.952,12.177,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/15/20,0,0,1.87,-0.06,13.44,11.57,135444400,12.45,13.48,12.21,0,0,0,0,0,11.662,12.14,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/14/20,0,1,-0.06,-0.31,11.57,11.63,49888210,11.32,11.84,11.22,0,0,0,0,0,11.73,12.315,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/13/20,1,0,-0.31,0.76,11.63,11.94,67580250,12.13,12.27,11.45,0,0,0,0,0,11.964,12.39,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/10/20,0,1,0.76,-0.81,11.94,11.18,90450830,11,11.95,10.98,0,0,0,0,0,12.076,12.513,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/9/20,1,0,-0.81,0.08,11.18,11.99,77131190,11.94,11.94,11.15,0,0,0,0,0,12.402,12.699,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/8/20,0,1,0.08,-0.89,11.99,11.91,85034480,11.6,12.08,11.43,0,0,0,0,0,12.618,12.9,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/7/20,1,0,-0.89,0.3,11.91,12.8,77998110,12.51,12.54,11.91,0,0,0,0,0,12.9,13.201,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/6/20,0,0,0.3,-0.31,12.8,12.5,79312920,12.8,12.92,12.21,0,0,0,0,0,12.816,13.521,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/2/20,0,0,-0.31,-0.26,12.5,12.81,86439530,13.35,13.42,12.42,0,0,0,0,0,12.95,13.92,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
7/1/20,0,1,-0.26,-0.25,12.81,13.07,116661700,13.48,14.29,12.63,0,0,0,0,0,12.996,14.337,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/30/20,1,0,-0.25,0.94,13.07,13.32,69607730,13.1,13.48,12.88,0,0,0,0,0,13.182,14.733,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/29/20,0,1,0.94,-0.79,13.32,12.38,115051100,12.57,13.51,12.02,0,0,0,0,0,13.502,15.071,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/26/20,1,0,-0.79,0.13,12.38,13.17,108813000,13.2,13.29,12.13,0,0,0,0,0,14.226,15.507,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/25/20,0,0,0.13,-0.96,13.17,13.04,117383400,12.53,13.24,12.18,0,0,0,0,0,14.89,15.628,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/24/20,0,0,-0.96,-0.92,13.04,14,140975500,13.59,13.9,12.83,0,0,0,0,0,15.678,16.026,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/23/20,0,0,-0.92,-1.08,14,14.92,204022300,13.76,14.29,13.71,0,0,0,0,0,16.284,16.481,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/22/20,0,0,-1.08,-0.49,14.92,16,118994500,14.9,15.52,14.72,0,0,0,0,0,16.64,17.02,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/19/20,0,0,-0.49,-0.49,16,16.49,92320180,16.89,16.94,15.42,0,0,0,0,0,16.788,17.279,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/18/20,0,1,-0.49,-0.05,16.49,16.98,64265330,16.37,17.07,16.28,0,0,0,0,0,16.366,17.302,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
6/17/20,1,0,-0.05,0.33,16.98,17.03,71706660,16.76,17.05,16.16,0,0,0,0,0,16.374,16.789,0,0,0,0,0,0,0,0,0,0,AAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
